"Title","Artist","Album","YouTubeMusicUrl","AlbumArtUrl"
"Right Now (Na Na Na)","Akon","Right Now (Na Na Na)","https://music.youtube.com/search?q=Akon%20Right%20Now%20%28Na%20Na%20Na%29","https://cdn-images.dzcdn.net/images/cover/c3f2cf3cdf41b120fc142fa78779ece5/1000x1000-000000-80-0-0.jpg"
"Beautiful","Akon/Colby O'Donis/Kardinal Offishall","Beautiful","https://music.youtube.com/search?q=Akon%2FColby%20O%27Donis%2FKardinal%20Offishall%20Beautiful","https://cdn-images.dzcdn.net/images/cover/1c1d6f1424535b022ab059c84a8e6647/1000x1000-000000-80-0-0.jpg"
"Troublemaker","Akon/Sweet Rush","Freedom","https://music.youtube.com/search?q=Akon%2FSweet%20Rush%20Troublemaker","https://cdn-images.dzcdn.net/images/cover/8a1bff4feb19d14d87971aacf2821fa9/1000x1000-000000-80-0-0.jpg"
"The Way You Move","Al Rocco","The Way You Move - Single","https://music.youtube.com/search?q=Al%20Rocco%20The%C2%A0Way%C2%A0You%C2%A0Move",""
"Differences (Live)","Al Rocco/FADER ONE/RED8红八","Differences (Live) - Single","https://music.youtube.com/search?q=Al%20Rocco%2FFADER%20ONE%2FRED8%E7%BA%A2%E5%85%AB%20Differences%20%28Live%29",""
"Bruce Lee 李小龙","Al Rocco/王嘉尔/FADER ONE/RED8红八","Bruce Lee 李小龙 - Single","https://music.youtube.com/search?q=Al%20Rocco%2F%E7%8E%8B%E5%98%89%E5%B0%94%2FFADER%20ONE%2FRED8%E7%BA%A2%E5%85%AB%20Bruce%C2%A0Lee%C2%A0%E6%9D%8E%E5%B0%8F%E9%BE%99",""
"I'm Forrest... Forrest Gump","Alan Silvestri","Forrest Gump - Original Motion Picture Score","https://music.youtube.com/search?q=Alan%20Silvestri%20I%27m%20Forrest...%20Forrest%20Gump","https://cdn-images.dzcdn.net/images/cover/d7a16f666bd3acc9d783be7b10073b0b/1000x1000-000000-80-0-0.jpg"
"The Avengers","Alan Silvestri","Avengers Assemble","https://music.youtube.com/search?q=Alan%20Silvestri%20The%20Avengers","https://cdn-images.dzcdn.net/images/cover/c49b7714e3c4b75e7604c5a86524ec27/1000x1000-000000-80-0-0.jpg"
"Back To The Future","Alan Silvestri/The Outatime Orchestra","Back To The Future - Single","https://music.youtube.com/search?q=Alan%20Silvestri%2FThe%20Outatime%20Orchestra%20Back%20To%20The%20Future",""
"Faded (Restrung)","Alan Walker","Ministry of Sound: Recover","https://music.youtube.com/search?q=Alan%20Walker%20Faded%20%28Restrung%29","https://cdn-images.dzcdn.net/images/cover/e50540d7f752c93e0695ebae272be0c3/1000x1000-000000-80-0-0.jpg"
"The Spectre","Alan Walker","The Spectre","https://music.youtube.com/search?q=Alan%20Walker%20The%20Spectre","https://cdn-images.dzcdn.net/images/cover/35592b9e5e8d281e958381beaa932bf4/1000x1000-000000-80-0-0.jpg"
"All Falls Down","Alan Walker/Noah Cyrus/Digital Farm Animals/Juliander","All Falls Down (feat. Juliander)","https://music.youtube.com/search?q=Alan%20Walker%2FNoah%20Cyrus%2FDigital%20Farm%20Animals%2FJuliander%20All%20Falls%20Down","https://cdn-images.dzcdn.net/images/cover/7568d17d276d3aabf20cf443032f469b/1000x1000-000000-80-0-0.jpg"
"God Blessed Video","Alcatrazz","Disturbing the Peace","https://music.youtube.com/search?q=Alcatrazz%20God%20Blessed%20Video","https://cdn-images.dzcdn.net/images/cover/ba8ab7c02d9b53ea51c38fd4779f2c88/1000x1000-000000-80-0-0.jpg"
"Let Me Down Slowly","Alec Benjamin","Let Me Down Slowly","https://music.youtube.com/search?q=Alec%20Benjamin%20Let%20Me%20Down%20Slowly","https://cdn-images.dzcdn.net/images/cover/1a2ff1ad7241739d524583d6f775c379/1000x1000-000000-80-0-0.jpg"
"Scars To Your Beautiful","Alessia Cara","Know-It-All (Deluxe)","https://music.youtube.com/search?q=Alessia%20Cara%20Scars%20To%20Your%20Beautiful","https://cdn-images.dzcdn.net/images/cover/c2c09bb30073e88323ddcdb6e3311e49/1000x1000-000000-80-0-0.jpg"
"Wild Things","Alessia Cara","Know-It-All (Deluxe)","https://music.youtube.com/search?q=Alessia%20Cara%20Wild%20Things","https://cdn-images.dzcdn.net/images/cover/c2c09bb30073e88323ddcdb6e3311e49/1000x1000-000000-80-0-0.jpg"
"Falling","Alesso/Aanysa","Falling - Single","https://music.youtube.com/search?q=Alesso%2FAanysa%20Falling",""
"Heroes (We Could Be)","Alesso/Tove Lo","Forever","https://music.youtube.com/search?q=Alesso%2FTove%20Lo%20Heroes%20%28We%20Could%20Be%29","https://cdn-images.dzcdn.net/images/cover/3a436fc1dfb085581043417e1db3caad/1000x1000-000000-80-0-0.jpg"
"Cello Suite No. 1 in G Major, BWV 1007:I. Prelude","Alexander Rudin","The Very Best of Bach","https://music.youtube.com/search?q=Alexander%20Rudin%20Cello%20Suite%20No.%201%20in%20G%20Major%2C%20BWV%201007%3AI.%20Prelude","https://cdn-images.dzcdn.net/images/cover/f5fc922dcd52f378062ae18c900b9d6c/1000x1000-000000-80-0-0.jpg"
"Moving In","Alexandre Desplat","Fantastic Mr. Fox","https://music.youtube.com/search?q=Alexandre%20Desplat%20Moving%20In","https://cdn-images.dzcdn.net/images/cover/5b73a4021945c4115212ffcb62ac8d2c/1000x1000-000000-80-0-0.jpg"
"Waltz No. 2 from Jazz Suite No. 2","Alexandre Desplat","Waltz No. 2 from Jazz Suite No. 2 - Single","https://music.youtube.com/search?q=Alexandre%20Desplat%20Waltz%20No.%202%20from%20Jazz%20Suite%20No.%202",""
"Fallin'","Alicia Keys","Knuffelrock 2018 (Radio 2)","https://music.youtube.com/search?q=Alicia%20Keys%20Fallin%27","https://cdn-images.dzcdn.net/images/cover/d83318951e3899a096ed96c6fd422032/1000x1000-000000-80-0-0.jpg"
"Girl On Fire","Alicia Keys","Alicia Keys - VH1 Storytellers","https://music.youtube.com/search?q=Alicia%20Keys%20Girl%20On%20Fire","https://cdn-images.dzcdn.net/images/cover/36c185941d3fd043ff9861d89040ba46/1000x1000-000000-80-0-0.jpg"
"Girl On Fire (Main Version)","Alicia Keys","Girl On Fire (Main Version) - Single","https://music.youtube.com/search?q=Alicia%20Keys%20Girl%20On%20Fire%20%28Main%20Version%29",""
"If I Ain't Got You","Alicia Keys","Americas Next Top Model, Part 3","https://music.youtube.com/search?q=Alicia%20Keys%20If%20I%20Ain%27t%20Got%20You","https://cdn-images.dzcdn.net/images/cover/cef30c1c2a5a63c773d26d56049c81e5/1000x1000-000000-80-0-0.jpg"
